name,temp,humidity,clouds,wind,lat,lon,id
Lorengau,25.57,88,100,5.47,-2.02,147.27,1
Maraa,31.07,62,86,1.02,-1.83,-65.37,2
Saint-Joseph,22.93,73,0,1.5,43.56,6.97,3
Ginda,15.47,94,100,1.28,30.69,78.49,4
Norman Wells,9,81,90,1.5,65.28,-126.83,5
Keetmanshoop,16,19,0,4.6,-26.57,18.15,6
Port Alfred,16.67,80,0,3.13,-33.59,26.89,7
Taoudenni,37.67,23,100,7.12,22.68,-3.98,8
Albany,20.8,56,90,2.1,42.65,-73.75,9
Klaksvik,10,81,95,5.1,62.23,-6.59,10
Pitimbu,24,94,20,3.1,-7.47,-34.81,11
Makueni,19.07,78,16,2.66,-1.8,37.62,12
Barrow,7.57,56,11,2.59,-38.31,-60.23,13
Walvis Bay,10.56,96,0,3.13,-22.95,14.51,14
Samarai,21.67,88,70,3.87,-10.62,150.67,15
Komsomolskiy,5.27,92,93,7.48,67.55,63.78,16
Avarua,23,53,38,3.1,-21.21,-159.78,17
Ushuaia,1,86,75,10.3,-54.81,-68.31,18
Salalah,26,94,75,2.6,17.01,54.1,19
Faanui,24.07,77,84,6.47,-16.48,-151.75,20
Nome,34.61,39,1,1.5,30.04,-94.42,21
Atuona,26.27,73,13,6.93,-9.8,-139.03,22
Saint-Philippe,22.15,53,1,5.1,45.36,-73.48,23
Hamilton,18.12,88,90,3.6,43.26,-79.87,24
Masuri,20.01,94,90,0.62,35.85,128.15,25
Lavrentiya,8.07,96,100,4.82,65.58,-170.99,26
Bubaque,26.97,79,100,3.77,11.28,-15.83,27
Torbay,14.24,77,20,4.1,47.66,-52.73,28
Bartica,28,78,20,5.1,6.41,-58.62,29
Lagoa,23.4,83,0,2.1,37.14,-8.45,30
Vao,15.87,83,79,3.18,59.1,26.19,31
Leiyang,20.97,75,100,1.02,26.42,112.85,32
Vanavara,12.17,96,49,3.2,60.35,102.28,33
Halifax,20.31,37,20,2.6,44.65,-63.58,34
Ponta do Sol,24.97,39,59,1.15,-20.63,-46,35
Katsuura,23.19,94,75,1,33.93,134.5,36
Busselton,12.93,55,100,14.84,-33.64,115.35,37
Lovozero,10.47,93,36,1.64,68.01,35.02,38
Maldonado,9,66,20,3.1,-34.91,-54.96,39
Souillac,13.9,82,0,1.5,45.6,-0.6,40
Altus,34.9,41,1,3.1,34.64,-99.33,41
Sitka,30.86,61,16,5.81,37.17,-99.65,42
Westport,21.55,64,40,6.2,41.14,-73.36,43
Rikitea,22.67,88,100,3.59,-23.12,-134.97,44
Tuktoyaktuk,5,69,20,6.7,69.44,-133.03,45
Constitucion,22.08,46,75,3.6,23.99,-104.67,46
Esperance,8,93,0,5.7,-33.86,121.89,47
Severo-Kurilsk,9.87,96,97,5.17,50.68,156.12,48
Punta Arenas,3.94,55,0,5.1,-53.16,-70.91,49
Hermanus,12.83,88,84,7.94,-34.42,19.24,50
North Myrtle Beach,26.89,69,20,4.6,33.83,-78.68,51
Yellowknife,11.35,54,75,2.6,62.45,-114.38,52
Mataura,11.67,81,96,0.89,-46.19,168.86,53
Bredasdorp,12.52,62,0,2.6,-34.53,20.04,54
Svetlogorsk,8,75,75,3,53.14,59.15,55
Staroaleyskoye,7.37,71,0,0.71,51.01,82,56
Khatanga,1.27,97,33,4.24,71.98,102.47,57
Butaritari,29.17,76,41,8.34,3.07,172.79,58
San Policarpo,24.97,90,100,4.56,12.18,125.51,59
Nurota,16,26,0,2.1,40.56,65.69,60
Airai,17.87,63,91,1.79,-8.93,125.41,61
Santa Cruz del Sur,30.57,68,10,4.33,20.71,-78,62
Taltal,13.67,68,2,1.64,-25.41,-70.49,63
Mar del Plata,2.97,63,82,13.55,-46.43,-67.52,64
Fort Nelson,10,93,90,1.86,58.81,-122.69,65
Khasan,14.57,80,0,1.45,42.43,130.64,66
Havre-Saint-Pierre,11,71,20,4.6,50.23,-63.6,67
Port Elizabeth,24.81,73,20,4.6,39.31,-74.98,68
Victoria,27.34,83,75,1,5.28,115.24,69
Cabo San Lucas,30.61,70,40,4.6,22.89,-109.91,70
Karasuk,8.87,57,65,3.46,53.73,78.03,71
Bluff,14.67,42,0,2.4,-23.58,149.07,72
Ancud,8,65,75,8.2,-41.87,-73.83,73
Collie,12.96,55,100,5,-33.36,116.15,74
Boyolangu,18.47,93,100,2.31,-8.09,111.9,75
Lebu,13.47,86,100,0.43,8.96,38.73,76
Kruisfontein,11.47,90,8,4.57,-34,24.73,77
Yar,4.97,95,88,1.39,58.24,52.11,78
Hilo,27.92,55,1,3.1,19.71,-155.08,79
Waingapu,18.07,91,100,3.21,-9.65,120.26,80
